emp_id,name,gender,department,city,hire_date,birth_year,salary,performance,satisfaction,overtime_hours,left_company
E0023,ماجد الزهراني,ذكر,التقنية ,الرياض,06/10/2023,1995,12400,4,4,14,لا
E0008,يوسف العتيبي,ذكر,المبيعات,الرياض,2022-01-23,1985,8650,3,6,9,لا
E0041,خالد الشمري,ذكر,الموارد البشرية,الرياض,2023-11-08,2002,7200,4,3,10,نعم
E0244,أحمد الزهراني,ذكر,خدمة العملاء,الدمام,2022-11-03,1989,7700,4,4,11,لا
E0124,يوسف الشمري,ذكر,التقنية ,الرياض,2022-03-12,2000,13000,4,6,11,لا
E0048,عبير السبيعي,أنثى,التقنية ,الرياض,2020-08-14,1988,14050,3,3,6,لا
E0069,لمى الزهراني,أنثى,التقنية,الرياض,2023-05-31,1999,15300,3,6,5,لا
E0091,غادة الحربي,أنثى,التقنية,الدمام,23/07/2024,1991,14850,4,,12,لا
E0225,سعد الزهراني,ذكر,خدمة العملاء,الرياض,2021-05-08,1991,5050,5,2,15,نعم
E0167,هند الدوسري,أنثى,خدمه العملاء,جدة,2023-10-13,1993,6600,3,4,12,لا
E0311,خالد الشمري,ذكر,خدمة العملاء,الرياض,2023-01-18,1988,7550,3,2,6,لا
E0117,محمد الدوسري,ذكر,موارد بشرية,جدة,2015-09-07,1982,11300,3,6,13,لا
E0175,عمر الشمري,ذكر,المبيعات,الرياض,05/12/2020,1984,6800,4,3,1,لا
E0126,عبدالله الغامدي,ذكر,خدمة العملاء,جدة,2023-01-07,1987,5800,4,5,11,لا
E0044,عبدالله السبيعي,ذكر,التقنية,الرياض,2021-05-23,1992,14700,3,9,8,لا
E0022,لمى الحربي,أنثى,المبيعات,جدة,2021-05-19,1999,6800,4,5,6,لا
E0039,نورة المطيري,أنثى,التقنية,الدمام,2018-09-01,1990,17150,5,7,10,لا
E0348,نورة القحطاني,أنثى,المالية,الرياض ,2012-01-21,1985,14400,2,2,6,لا
E0163,فهد العتيبي,ذكر,Sales,الرياض,2017-09-19,1986,7050,2,5,13,Yes
E0099,سلطان العتيبي,ذكر,خدمة العملاء,الرياض,2023-09-27,1995,6950,2,4,11,لا
E0287,فهد الدوسري,ذكر,خدمة العملاء,الدمام,2021-03-29,1988,8750 SAR,3,4,14,لا
E0358,سارة القحطاني,أنثى,الموارد البشرية,الرياض,2008-06-02,1976,12900,1,4,11,لا
E0320,أحمد السبيعي,M,خدمة العملاء,الرياض,2018-11-19,1997,"9,850",4,9,5,لا
E0055,ريم السبيعي,أنثى,المبيعات,جدة,2024-06-01,1999,7950,4,6,8,لا
E0212,خالد الزهراني,ذكر,خدمة العملاء,الرياض,2014-09-02,1987,8450,3,5,10,No
E0364,ريم الشمري,أنثى,التقنية,جدة,2020-03-20,1991,9300,2,2,0,نعم
E0003,ريم القحطاني,أنثى,التقنية,الرياض,2020-02-28,1987,15600,3,7,3,No
E0045,عمر القحطاني,ذكر,الموارد البشرية,جدة,2022-12-27,1997,8300,3,4,11,No
E0363,عبير الشمري,أنثى, المبيعات,جدة,2018-09-25,1989,9850,4,8,15,لا
E0006,عبير السبيعي,أنثى,المبيعات,الدمام,2017-03-31,1984,9800,3,6,6,لا
E0178,غادة القحطاني,أنثى,التقنية,جدة,2016-09-15,1990,13650,3,8,16,لا
E0279,ريم القحطاني,أنثى,المالية,الدمام,2025-05-21,2000,9200,3,8,0,نعم
E0231,عبير الغامدي,أنثى,التقنية,الرياض,02/09/2016,1983,8800,3,4,8,لا
E0272,عمر القحطاني,ذكر,المبيعات,الرياض,2013-11-04,1989,11850 SAR,5,8,8,لا
E0191,ماجد الحربي,ذكر,المالية,جدة,2020-08-22,1991,8450,2,2,12,لا
E0223,نورة العتيبي,أنثى,المالية,جدة,2023-04-04,1998,13050,2,2,14,لا
E0351,محمد الغامدي,M,خدمة العملاء,الرياض,2025-03-03,1997,6650,3,7,12,لا
E0132,هند الحربي,أنثى,المبيعات,الدمام,2023-04-25,1991,7300,2,4,6,لا
E0066,نورة الحربي,أنثى,خدمة العملاء,جدة,2023-08-26,2002,6850,3,5,15,لا
E0211,محمد الزهراني,ذكر,التقنية,جدة,2020-04-10,1986,12750,4,7,4,لا
E0306,فهد الحربي,ذكر,التقنية,جدة,2023-04-20,1993,9250,3,3,12,نعم
E0153,محمد الدوسري,ذكر,المبيعات,الرياض,2018-12-22,1987,7500 SAR,3,7,4,لا
E0357,دانة السبيعي,أنثى,الموارد البشرية,جدة,2022-11-26,1988,9500,2,4,5,لا
E0077,ريم الغامدي,أنثى,المالية,الرياض,2020-07-10,1991,"9,850",2,1,13,لا
E0233,خالد العتيبي,ذكر,التقنية,جدة,2023-04-12,1988,10300,3,4,14,No
E0398,عبير الدوسري,أنثى,المالية,الدمام,2024-07-03,1993,9400,4,,8,لا
E0147,فهد الحربي,ذكر,المبيعات,الدمام,2020-07-13,1988,4400,4,,9,لا
E0334,سارة الحربي,أنثى,خدمة العملاء,الدمام,2031-02-10,1993,8550 SAR,4,7,4,لا
E0032,عبدالله السبيعي,ذكر,خدمة العملاء,الدمام,02/07/2024,1997,6650,5,3,8,لا
E0240,دانة القحطاني,أنثى,التقنية,جدة,2013-09-06,1987,11950,1,3,4,لا
E0180,خالد الزهراني,ذكر,المبيعات,الرياض,2021-02-11,1990,8900,5,5,12,لا
E0395,خالد الحربي,ذكر,المبيعات,الرياض,2022-10-11,2000,8800,3,,13,نعم
E0224,سارة المطيري,أنثى,التقنية,جدة,2023-06-18,1999,13150,3,5,2,نعم
E0152,منى الشمري,أنثى,المبيعات,الدمام,2018-02-23,1989,10450,4,7,13,لا
E0228,خالد الشمري,M,التقنية,جدة,2022-04-13,1999,11750,4,5,8,لا
E0400,سلطان الحربي,ذكر,التقنية,جدة,2012-12-30,1988,20350,3,10,4,لا
E0343,خالد الحربي,ذكر,المالية,الرياض,18/06/2025,2003,6200,2,2,9,لا
E0093,  فهد السبيعي,ذكر,المالية,الرياض,2024-04-21,1998,"7,950",4,3,3,نعم
E0350,أحمد الحربي,ذكر,الموارد البشرية,الدمام,02/05/2018,1991,10750,5,9,0,لا
E0327,  دانة الشمري,أنثى,الموارد البشرية,جدة,18/02/2024,1996,9450,3,6,0,لا
E0045,عمر القحطاني,ذكر,الموارد البشرية,جدة,2022-12-27,1997,8300,3,4,11,No
E0040,سلطان الحربي,ذكر,Customer Service,الرياض,2024-01-19,1996,غير متوفر,4,6,5,لا
E0142,دانة الدوسري,أنثى,المبيعات,جدة,2011-08-17,1988,11800,1,5,9,لا
E0174,لمى الشمري,أنثى,المبيعات,الرياض,16/04/2019,1989,8750,1,1,9,لا
E0082,سلطان الزهراني,ذكر,خدمة العملاء,الرياض,2022-08-25,2001,7150,2,,13,لا
E0387,أحمد الغامدي,ذكر,التقنية,الرياض,2023-05-30,1995,14300,3,5,2,لا
E0134,فهد العتيبي,ذكر,خدمة العملاء,جدة,2010-01-11,1977,11650,4,6,6,لا
E0111,هند السبيعي,أنثى,الموارد البشرية,الدمام,2025-04-04,1991,7900,5,7,4,نعم
E0276,نورة القحطاني,أنثى,Sales,الرياض,07/11/2022,1991,7900,5,8,3,لا
E0373,  نورة الدوسري,أنثى,المبيعات,الدمام,25/10/2021,1993,"7,000",5,8,11,لا
E0378,غادة الزهراني,أنثى,التقنية,الرياض,2019-07-22,1996,13350,5,8,12,لا
E0256,سلطان الزهراني,ذكر,التقنية,الرياض,2022-09-18,2001,14900,5,6,0,لا
E0391,سلطان العتيبي,ذكر,المبيعات,الرياض,2023-09-17,1998,"6,350",1,1,16,لا
E0362,محمد العمري,ذكر,التقنية,الرياض,2019-09-01,1995,14700,4,6,5,لا
E0375,يوسف الزهراني,ذكر,خدمة العملاء,الدمام,2016-05-10,1994,"8,950",4,6,19,لا
E0270,عبير السبيعي,أنثى,المبيعات,الرياض,2021-02-08,1989,8250,2,5,9,لا
E0086,فهد العتيبي,M,التقنية,الرياض,10/02/2013,1991,10800,4,7,11,لا
E0294,فهد العمري,ذكر,خدمه العملاء,الرياض,2024-11-27,2003,6100,5,5,15,لا
E0166,هند العمري,أنثى,المالية,جدة,12/10/2020,1999,11250,3,5,0,نعم
E0202,عمر الشمري,ذكر,المالية,الرياض,2023-11-22,1999,8900,3,4,8,نعم
E0392,أحمد العمري,ذكر,التقنية,الرياض,11/09/2018,1997,"13,050",3,,13,لا
E0100,سارة المطيري,أنثى,المالية,جدة,2022-02-01,2000,13300,3,5,5,لا
E0352,نورة القحطاني,F,خدمة العملاء,الرياض,2016-12-16,1988,"8,400",4,6,12,No
E0277,دانة الحربي,أنثى,المالية,الدمام,11/10/2024,1999,9950,4,3,0,نعم
E0017,لمى الغامدي,أنثى,خدمة العملاء,الرياض,2024-03-30,2001,6800,3,6,18,لا
E0128,ماجد العمري,ذكر,خدمة العملاء,الرياض,14/07/2024,2000,6000,5,7,2,نعم
E0131,يوسف العمري,ذكر,الموارد البشرية,جدة,2025-01-06,1995,10250,3,6,15,نعم
E0037,منى الزهراني,أنثى,التقنية,الرياض,2022-05-07,1995,15100,3,6,8,لا
E0011,ريم الغامدي,أنثى,الموارد البشرية,الرياض,2021-08-10,1991,غير متوفر,5,9,2,لا
E0205,عبير الزهراني,أنثى,المبيعات,الدمام,2020-03-15,1973,"8,000",4,5,16,لا
E0057,فهد الغامدي,ذكر,الموارد البشرية,جدة,2023-03-12,2000,10750,2,6,14,لا
E0136,عمر الشمري,ذكر,تقنية المعلومات,الرياض,2019-05-29,1995,15250,3,5,11,لا
E0156,سلطان السبيعي,ذكر,المالية,الرياض,2023-12-05,1991,12000,2,2,3,نعم
E0067,سارة العمري,أنثى,التقنية,الدمام,2015-03-01,1982,16300,4,,6,لا
E0255,منى الزهراني,أنثى,الموارد البشرية,جدة ,2023-02-10,1990,10050,3,7,10,لا
E0088,نورة الزهراني,أنثى,المالية,جدة,2023-10-12,1995,9650,5,4,9,لا
E0098,سعد العتيبي,ذكر,المبيعات,الرياض,2023-11-27,1992,7250,2,4,12,No
E0229,خالد المطيري,ذكر,خدمة العملاء,جدة,2022-04-03,1995,7600,5,8,18,Yes
E0319,سارة الحربي,أنثى,التقنية,الرياض,2025-03-30,2002,17500,3,8,12,لا
E0285,ماجد القحطاني,ذكر,خدمة العملاء,الرياض,19/02/2025,1999,غير متوفر,3,4,8,لا
E0261,نورة العمري,أنثى,التقنية,جدة,2019-05-05,1993,14250,0,5,4,نعم
E0149,خالد القحطاني,ذكر,المالية,جدة,2016-12-21,1982,12350,5,8,5,لا
E0344,عبدالله المطيري,ذكر,خدمه العملاء,الرياض,2019-06-19,1989,7850 SAR,1,3,7,لا
E0241,لمى الشمري,أنثى,المبيعات,الرياض,2023-12-24,1997,7850,3,7,2,لا
E0254,يوسف الغامدي,ذكر,خدمة العملاء,جدة,2022-09-03,1995,"7,650",2,3,7,لا
E0266,عمر الزهراني,ذكر,المالية,الدمام,03/04/2024,1990,10900,4,4,0,نعم
E0361,رهف الحربي,أنثى,المبيعات,الرياض,2024-06-21,1989,"6,900",3,4,15,لا
E0058,  ماجد القحطاني,ذكر,خدمة العملاء,جدة,18/06/2020,1989,"6,750",4,7,9,لا
E0324,عبير العتيبي,أنثى,المالية,الرياض,2021-03-30,1995,11050,5,5,6,No
E0374,سلطان القحطاني,ذكر,التقنية,الرياض,2024-01-06,1989,16200,3,9,10,لا
E0005,لمى الغامدي,أنثى,المبيعات,جدة,2024-02-25,1992,4650,3,6,13,لا
E0284,سعد السبيعي,ذكر,المبيعات,الرياض,2024-05-03,1992,6200,3,8,9,لا
E0137,أحمد العتيبي,ذكر,خدمة العملاء,الرياض,2024-09-09,1999,6200,3,6,0,لا
E0138,سعد الدوسري,ذكر,المبيعات,الرياض,2017-08-30,1989,6600,5,9,14,لا
E0377,سارة الزهراني,أنثى,خدمة العملاء,الرياض,2025-04-15,2003,7700,1,2,8,لا
E0002,ريم الزهراني,أنثى,خدمة العملاء,الرياض,19/04/2023,1997,"5,950",4,5,9,لا
E0383,ريم السبيعي,أنثى,التقنية,الرياض,2022-12-15,1999,12050,3,6,11,لا
E0187,  عمر القحطاني,ذكر,خدمه العملاء,الرياض,2023-11-20,1998,6950,3,5,6,نعم
E0317,خالد العتيبي,ذكر,خدمة العملاء,الرياض,2024-06-16,1992,8050,4,5,14,لا
E0239,دانة السبيعي,أنثى,خدمة العملاء,الرياض,2024-03-14,1996,غير متوفر,4,3,18,نعم
E0119,سارة المطيري,أنثى,المبيعات,الرياض,2024-01-23,1995,8850,3,8,2,نعم
E0083,محمد المطيري,ذكر,Finance,الرياض,2023-04-20,1985,12200,4,3,5,لا
E0106,سلطان السبيعي,ذكر,IT,جدة,2024-03-26,2002,15150,3,6,0,لا
E0250,محمد القحطاني,M,التقنية,جدة,2019-03-04,1982,12500,4,7,6,لا
E0400,سلطان الحربي,ذكر,التقنية,جدة,2012-12-30,1988,20350,3,10,4,لا
E0359,عبدالله الغامدي,ذكر,خدمة العملاء,جدة,2017-09-30,1989,10450,5,6,14,لا
E0302,يوسف الشمري,ذكر,التقنية,الرياض,2015-01-09,1993,14600,4,7,5,لا
E0133,دانة السبيعي,أنثى,HR,الدمام,2023-10-18,1997,10250,4,6,4,لا
E0080,ريم العتيبي,أنثى,خدمه العملاء,جدة,2019-05-20,1997,8250,3,8,5,لا
E0262,رهف القحطاني,أنثى,المبيعات,الرياض,2024-11-07,1995,7750,3,6,6,لا
E0038,يوسف العتيبي,ذكر,التقنية,الرياض,2024-12-02,1993,12050,3,8,2,لا
E0397,ماجد الغامدي,ذكر,خدمة العملاء,الرياض,2018-08-21,1990,9350,3,9,8,لا
E0384,نورة الحربي,أنثى,خدمة العملاء,جدة,2007-09-27,1985,"12,900",3,9,10,لا
E0286,فهد السبيعي,ذكر,الموارد البشرية,الرياض,2022-09-13,1990,8000,3,6,10,لا
E0378,غادة الزهراني,أنثى,التقنية,الرياض,2019-07-22,1996,13350,5,8,12,لا
E0264,أحمد الدوسري,ذكر,خدمة العملاء,الدمام,2025-05-15,1994,6550,3,5,0,لا
E0245,غادة المطيري,أنثى,المبيعات,جدة,2021-09-03,1992,7400,2,6,8,No
E0004,منى الشمري,أنثى,خدمة العملاء,جدة,2020-09-08,1985,8000,2,,9,نعم
E0169,ماجد الزهراني,ذكر,خدمة العملاء,الرياض,2022-09-01,1997,4850,2,3,19,نعم
E0043,  غادة الدوسري,أنثى,المبيعات,الرياض,2015-11-16,1988,8100 SAR,4,4,17,لا
